Id,LinkTypeId,CreationDate,PostId,RelatedPostId
13,1,2011-10-11T20:01:34.340,4,5
14,1,2011-10-11T20:34:50.520,5,3
27,1,2011-10-11T22:35:48.510,15,1
76,1,2011-10-11T23:22:59.237,16,1
137,1,2011-10-12T02:13:14.807,5,4
138,1,2011-10-12T04:24:11.090,33,28
165,1,2011-10-12T10:11:48.130,33,11
238,1,2011-10-13T00:53:06.970,44,11
424,1,2011-10-17T18:19:47.077,59,3
531,1,2011-10-19T22:37:49.653,67,59
742,1,2011-10-23T00:44:16.920,74,59
993,1,2011-10-27T16:32:39.803,89,88
1076,1,2011-11-01T19:24:45.557,110,11
1942,1,2011-12-09T11:39:33.580,108,33
1943,1,2011-12-09T11:39:33.583,108,28
2001,1,2011-12-13T16:20:18.863,140,130
2083,1,2011-12-19T15:18:15.897,142,140
2297,1,2012-01-17T18:30:39.100,146,131
2523,1,2012-02-26T20:23:53.797,164,143
2549,1,2012-02-26T20:24:28.047,143,164
2712,1,2012-03-19T18:45:51.657,173,131
2855,1,2012-03-29T19:00:39.440,33,18
3192,1,2012-05-03T17:23:12.810,208,202
3218,1,2012-05-03T17:58:56.913,202,208
3521,1,2012-05-25T16:16:28.613,233,1
3613,1,2012-06-01T20:12:19.140,240,1
3614,1,2012-06-01T20:12:19.140,240,99
3615,1,2012-06-01T20:12:19.140,240,236
4081,1,2012-07-16T16:10:57.460,266,218
4107,1,2012-07-16T16:11:42.840,266,202
4202,1,2012-07-22T20:47:01.210,270,18
4203,1,2012-07-22T20:47:01.210,270,218
4439,1,2012-08-18T12:01:13.320,284,279
4518,1,2012-08-23T13:34:47.073,284,291
4714,1,2012-09-24T12:46:39.913,300,123
4834,1,2012-10-15T22:43:04.037,303,279
5010,1,2012-10-26T18:35:51.457,311,202
5141,1,2012-11-08T00:02:17.967,319,18
5142,1,2012-11-08T00:02:17.967,319,42
5143,1,2012-11-08T00:02:17.967,319,156
5144,1,2012-11-08T00:02:17.967,319,190
7071,1,2013-01-24T19:04:03.147,373,208
7072,1,2013-01-24T19:04:36.130,373,309
7487,1,2013-02-04T12:49:44.373,387,202
7488,1,2013-02-04T12:49:44.373,387,208
7628,1,2013-02-08T12:45:07.260,392,395
7817,3,2013-02-18T03:03:35.793,5,3
7818,3,2013-02-18T03:03:35.793,5,4
8729,1,2013-03-11T12:35:47.963,431,416
8987,1,2013-03-23T13:07:24.763,451,59
8988,1,2013-03-23T13:10:03.870,59,451
9337,1,2013-04-24T14:36:29.390,507,499
9414,1,2013-05-01T20:03:41.063,4,3
9428,1,2013-05-02T20:46:35.470,517,173
9469,1,2013-05-05T21:19:08.590,526,437
9639,1,2013-05-23T20:32:22.303,543,467
9699,1,2013-05-27T01:48:24.470,555,553
9844,1,2013-06-14T13:56:06.100,568,152
9904,1,2013-06-17T14:03:17.183,574,173
10046,3,2013-06-29T03:00:55.933,603,577
10067,1,2013-07-01T01:37:29.397,606,577
10134,1,2013-07-05T18:20:39.723,618,606
10348,1,2013-07-25T13:03:37.643,291,618
10557,1,2013-08-05T05:29:00.153,670,48
10770,1,2013-08-21T11:38:47.433,695,712
10771,1,2013-08-21T14:29:08.407,714,657
10783,1,2013-08-22T19:55:15.423,691,667
10880,1,2013-08-29T07:25:58.737,731,152
10881,1,2013-08-29T07:25:58.737,731,568
10977,1,2013-09-05T19:52:43.053,739,709
10995,1,2013-09-08T02:18:08.753,736,401
11305,1,2013-10-02T18:21:19.513,618,773
11310,1,2013-10-02T19:29:40.167,778,784
11545,1,2013-10-22T23:38:27.803,804,770
11659,1,2013-11-20T14:39:23.960,811,123
11726,1,2013-12-01T13:15:01.997,813,401
11751,1,2013-12-03T15:31:07.113,814,813
11756,1,2013-12-04T07:56:11.447,814,816
11848,1,2013-12-20T12:23:28.147,824,813
12019,1,2014-01-06T22:00:12.773,830,846
12020,1,2014-01-06T22:00:29.147,846,830
12072,1,2014-01-14T20:32:54.767,857,799
12265,1,2014-02-20T14:30:31.803,870,618
12266,1,2014-02-20T17:51:37.243,866,857
12426,1,2014-03-26T09:04:40.197,883,813
12513,1,2014-04-14T00:10:13.797,889,892
12530,1,2014-04-15T16:29:03.173,896,305
12531,1,2014-04-15T16:29:03.173,896,35
12654,1,2014-04-30T16:31:14.713,904,1
13013,1,2014-06-11T12:53:02.617,909,618
13105,1,2014-07-09T17:48:31.867,924,923
13118,1,2014-07-10T10:19:13.763,924,896
13119,1,2014-07-10T10:19:13.763,924,35
13120,1,2014-07-10T18:39:56.223,923,924
13416,1,2014-08-08T10:50:51.913,1944,889
13417,1,2014-08-08T12:02:38.807,1944,618
13418,1,2014-08-08T12:02:38.807,1944,846
13579,1,2014-08-13T12:29:14.277,896,924
13638,1,2014-08-23T02:38:09.460,1956,142
13639,1,2014-08-23T02:42:44.090,1954,857
13640,1,2014-08-23T02:42:44.090,1954,1956
13681,1,2014-08-29T23:22:20.263,1968,1956
13709,1,2014-09-05T19:28:37.920,1970,1956
13710,1,2014-09-05T19:29:54.373,1956,1968
13711,1,2014-09-05T19:30:47.637,1956,1970
13917,1,2014-09-26T19:55:54.120,1984,1956
13928,1,2014-09-26T19:56:47.817,1956,1984
13983,1,2014-10-04T01:46:07.650,1993,896
13996,1,2014-10-04T14:23:13.313,1995,1956
14242,1,2014-10-17T16:27:41.113,2007,2001
14246,3,2014-10-18T15:24:24.957,2007,2001
14377,1,2014-11-04T21:42:58.427,2023,909
14440,1,2014-11-11T00:27:55.373,2000,1956
14992,1,2015-01-31T22:03:31.003,2072,774
15008,1,2015-02-07T22:15:43.203,2068,618
15009,1,2015-02-07T22:17:06.857,2065,1993
15020,1,2015-02-09T05:00:33.067,2078,2065
15021,1,2015-02-09T05:00:33.067,2078,121
15022,1,2015-02-09T05:00:33.067,2078,1993
15142,1,2015-02-10T03:28:32.137,2065,2081
15274,1,2015-03-19T10:53:07.230,2099,2081
15286,1,2015-03-20T02:39:06.307,2101,657
15287,1,2015-03-20T02:39:06.307,2101,847
15352,1,2015-04-08T14:27:24.703,2106,1978
15563,1,2015-04-25T06:53:50.793,2131,1932
15622,1,2015-05-06T11:48:15.217,2133,618
15746,1,2015-05-25T09:08:55.863,2150,1987
15747,3,2015-05-25T10:00:27.730,2150,1987
15759,1,2015-06-02T00:29:29.407,2151,618
15950,1,2015-06-19T06:21:30.587,2160,123
15951,1,2015-06-19T06:21:30.587,2160,811
15994,1,2015-06-23T19:41:30.950,2165,634
16009,1,2015-06-24T11:54:20.377,2167,618
16022,1,2015-06-25T06:16:35.923,2168,2167
16083,1,2015-07-01T22:54:45.010,2175,362
16198,1,2015-07-29T19:54:42.267,2185,1993
16199,1,2015-07-29T19:54:42.267,2185,896
16854,1,2015-10-23T01:39:35.223,2231,1987
17362,1,2016-01-22T21:15:06.980,2280,1944
17363,1,2016-01-22T21:15:06.980,2280,513
17364,1,2016-01-22T21:15:06.980,2280,1
17365,1,2016-01-22T21:15:06.980,2280,804
17366,1,2016-01-22T21:15:06.980,2280,99
17367,1,2016-01-22T21:15:06.980,2280,770
17368,1,2016-01-22T21:15:06.980,2280,1954
18710,1,2016-03-08T13:10:54.653,3298,618
18757,1,2016-03-23T18:02:56.717,3306,618
18783,1,2016-03-26T16:43:05.583,3310,618
19034,1,2016-05-05T09:00:24.037,3319,2192
19078,1,2016-05-10T13:27:12.557,3331,618
19129,1,2016-05-26T21:24:14.443,3336,2081
19346,1,2016-06-15T21:08:38.467,3342,2081
19428,1,2016-07-05T23:43:56.300,3357,504
19731,1,2016-08-30T15:28:55.277,3371,3373
19883,1,2016-10-03T07:59:27.443,3387,3364
19909,1,2016-10-04T12:01:49.027,3387,3388
19910,1,2016-10-04T13:28:55.267,3388,618
20041,1,2016-10-31T11:51:26.293,618,3396
20464,1,2017-01-06T15:31:24.907,3430,3418
20776,1,2017-03-16T15:49:21.130,74,67
20777,1,2017-03-16T15:49:21.130,336,171
20778,1,2017-03-16T15:49:21.130,338,336
20779,1,2017-03-16T15:49:21.130,338,171
20780,1,2017-03-16T15:49:21.130,350,208
20781,1,2017-03-16T15:49:21.130,675,667
20782,1,2017-03-16T15:49:21.130,685,682
20783,1,2017-03-16T15:49:21.130,797,636
20784,1,2017-03-16T15:49:21.130,797,799
20920,1,2017-04-04T19:17:38.040,3458,3457
21206,1,2017-06-09T18:15:17.987,3469,2001
21403,1,2017-07-01T12:30:07.217,3469,2081
21465,1,2017-07-21T22:10:10.777,3482,618
21575,1,2017-08-07T16:12:10.220,3488,1985
21752,1,2017-08-16T18:29:38.723,3496,406
21753,1,2017-08-16T18:31:29.300,3496,42
21800,1,2017-08-21T15:08:23.467,3502,3496
22008,1,2017-09-22T19:20:39.453,3530,3388
22249,1,2017-09-28T07:58:09.877,3513,3521
22282,1,2017-09-29T21:41:14.227,3537,756
22283,1,2017-09-29T21:41:14.227,3537,3530
22284,1,2017-09-29T21:41:14.227,3537,270
22307,1,2017-09-30T03:55:32.077,3537,3500
22348,1,2017-10-02T23:08:32.713,3542,3530
22349,1,2017-10-02T23:08:32.713,3542,3537
22470,1,2017-10-07T23:03:34.957,3545,504
22471,1,2017-10-07T23:03:34.957,3545,3530
22482,1,2017-10-08T07:03:30.420,3545,71
22483,1,2017-10-08T07:03:30.420,3545,612
22484,1,2017-10-08T07:03:30.420,3545,2192
22485,1,2017-10-08T07:03:30.420,3545,3364
22486,1,2017-10-08T07:03:30.420,3545,3472
23805,1,2017-10-13T10:46:34.207,3542,3500
23836,1,2017-10-14T19:43:51.327,3547,618
24014,1,2017-10-25T18:49:08.573,3561,587
24123,1,2017-11-02T11:30:04.843,3565,618
24558,1,2017-11-21T16:11:33.333,3580,618
24589,1,2017-11-24T23:48:18.643,3583,3561
25301,1,2017-12-02T00:19:15.673,3598,3542
25318,1,2017-12-03T21:24:05.773,3580,3510
25321,1,2017-12-04T18:09:04.960,3580,790
25344,1,2017-12-04T19:09:19.993,3610,3537
25651,1,2017-12-14T20:11:23.780,3622,3589
25776,1,2018-01-08T01:37:05.267,3640,3405
25777,3,2018-01-08T01:37:41.957,3640,3405
26022,1,2018-01-26T14:50:42.597,3654,618
26057,1,2018-01-29T17:25:35.547,3657,3598
26058,1,2018-01-29T17:25:35.547,3657,618
26066,1,2018-01-30T13:12:21.397,3380,904
26890,1,2018-02-15T18:16:48.167,3674,3669
26926,1,2018-02-17T07:52:01.457,3677,202
26927,1,2018-02-17T07:52:01.457,3677,866
26928,1,2018-02-17T07:52:01.457,3677,3
26929,1,2018-02-17T07:52:01.457,3677,3669
27005,1,2018-02-21T19:35:21.880,3683,3472
27006,1,2018-02-21T19:35:21.880,3683,618
27019,1,2018-02-21T23:30:43.447,3683,3681
27024,1,2018-02-22T15:06:32.550,3681,3683
27109,1,2018-02-27T14:18:22.213,3695,3627
27150,1,2018-03-02T00:56:47.157,3700,3683
27462,1,2018-03-22T13:54:37.697,3717,618
30245,1,2018-05-05T18:39:22.143,3730,3405
30246,1,2018-05-07T13:57:40.233,3733,3728
30278,1,2018-05-08T08:45:34.480,618,3717
31056,1,2018-06-11T09:28:59.520,3726,3693
31190,1,2018-07-12T10:14:20.450,3779,618
31466,1,2018-08-05T17:43:57.087,3793,3790
31815,1,2018-08-30T14:55:23.830,387,3351
31884,1,2018-09-11T13:47:59.807,3807,3292
31885,1,2018-09-11T17:39:48.723,3807,3636
31888,1,2018-09-12T23:49:52.370,3799,3619
31909,1,2018-09-15T16:38:03.550,3809,618
32069,1,2018-09-25T06:58:34.587,3813,618
32421,1,2018-10-13T18:19:37.570,3828,3598
32432,1,2018-10-15T13:44:38.780,3828,3700
32463,1,2018-10-20T16:26:13.153,3835,618
32474,1,2018-10-20T16:43:33.807,3835,3717
32486,1,2018-10-22T10:26:33.537,3837,3835
32550,1,2018-11-01T18:56:38.810,3841,3700
32556,1,2018-11-03T17:04:49.533,3841,3627
32581,1,2018-11-12T12:01:11.693,3837,3504
33150,1,2019-01-14T15:41:29.493,3864,2081
33243,1,2019-01-22T00:29:32.767,3866,3826
33245,1,2019-01-22T07:53:34.890,3866,896
33508,1,2019-02-09T16:09:11.677,3867,3803
33619,1,2019-02-26T14:53:36.927,3875,618
33620,1,2019-02-26T14:53:36.927,3875,3828
33621,1,2019-02-26T14:53:36.927,3875,3683
33622,1,2019-02-26T14:53:36.927,3875,3862
33637,1,2019-03-01T19:21:01.490,3880,753
33653,1,2019-03-03T23:32:53.247,3881,657
33654,1,2019-03-03T23:32:53.247,3881,48
33659,1,2019-03-05T23:36:50.623,618,3627
33731,1,2019-03-18T17:25:50.560,750,618
34064,1,2019-04-18T13:53:36.757,3893,3636
34117,1,2019-04-29T15:56:16.143,3898,3893
34171,1,2019-05-06T12:40:29.940,3906,3783
35068,1,2019-07-17T14:17:05.957,3927,3627
36080,1,2019-08-01T22:46:18.047,3881,3938
36154,1,2019-08-15T12:12:49.080,3906,3942
36191,1,2019-08-23T11:55:15.847,3944,3380
36202,1,2019-08-23T16:04:11.253,3947,3944
36203,1,2019-08-23T16:04:11.253,3947,99
36204,1,2019-08-23T16:04:11.253,3947,816
36205,1,2019-08-23T16:04:11.253,3947,3380
36206,1,2019-08-23T16:04:11.253,3947,3793
36207,1,2019-08-23T16:04:11.253,3947,3867
36218,1,2019-08-23T16:16:48.570,3947,3530
36249,1,2019-09-04T21:17:24.777,3947,618
36250,1,2019-09-04T21:17:24.777,3947,3717
36251,1,2019-09-04T21:17:24.777,3947,714
36443,1,2019-09-18T19:18:12.547,3955,1981
36444,1,2019-09-18T19:18:12.547,3955,3787
36468,1,2019-09-19T19:45:30.723,3959,3674
36469,1,2019-09-19T19:45:30.723,3959,3841
36482,1,2019-09-21T22:40:15.090,3959,3669
36483,1,2019-09-21T22:40:15.090,3959,618
36484,1,2019-09-21T23:07:31.003,3965,3959
36485,1,2019-09-21T23:08:09.007,3959,3965
36497,1,2019-09-22T17:44:47.143,3965,3841
36979,1,2019-10-28T15:03:35.647,3978,3542
36980,1,2019-10-28T15:17:21.893,3978,618
37386,1,2019-12-02T19:17:31.050,567,3959
37387,1,2019-12-02T19:17:31.050,567,3965
37388,1,2019-12-02T21:28:07.197,567,3983
37395,1,2019-12-04T10:25:46.203,3988,3683
37396,1,2019-12-04T10:25:46.203,3988,896
37397,1,2019-12-04T10:25:46.203,3988,108
37398,1,2019-12-04T10:25:46.203,3988,567
37399,1,2019-12-04T10:25:46.203,3988,3623
37400,1,2019-12-04T10:25:46.203,3988,3679
37401,1,2019-12-04T10:25:46.203,3988,91
37402,1,2019-12-04T10:25:46.203,3988,3837
37403,1,2019-12-04T10:25:46.203,3988,618
37404,1,2019-12-04T10:25:46.203,3988,750
37405,1,2019-12-04T10:25:46.203,3988,3717
37406,1,2019-12-04T10:25:46.203,3988,714
37407,1,2019-12-04T10:25:46.203,3988,587
37408,1,2019-12-04T10:25:46.203,3988,346
37409,1,2019-12-04T10:25:46.203,3988,3841
37410,1,2019-12-04T10:25:46.203,3988,3737
37411,1,2019-12-04T10:25:46.203,3988,3944
37412,1,2019-12-04T10:25:46.203,3988,3510
37433,1,2019-12-04T12:31:41.730,3988,3989
37482,1,2019-12-10T19:03:50.877,3993,3983
37515,1,2019-12-17T12:13:25.203,3867,3947
37531,1,2019-12-19T15:27:30.717,3998,3989
37532,1,2019-12-20T15:48:51.370,4001,3998
37548,1,2019-12-23T11:14:26.860,3988,4001
37549,1,2019-12-23T11:14:26.860,3988,3998
37557,1,2019-12-27T21:24:25.137,4003,3627
37567,1,2020-01-01T03:53:12.993,4005,3857
37590,1,2020-01-03T17:31:02.473,4005,3683
37800,1,2020-01-19T11:26:40.723,4018,4013
37807,1,2020-01-20T00:44:03.153,4021,3976
37817,1,2020-01-20T12:44:49.717,4013,3989
37818,1,2020-01-20T12:50:22.607,4013,4018
37850,1,2020-01-23T14:05:49.263,4027,401
37851,1,2020-01-23T14:05:49.263,4027,4003
37852,1,2020-01-23T14:05:49.263,4027,3625
37853,1,2020-01-23T14:05:49.263,4027,3627
38093,1,2020-02-01T16:35:59.947,4031,4027
38318,1,2020-03-06T18:31:21.610,4047,4045
38395,1,2020-03-10T11:19:46.047,4045,4047
39547,1,2020-03-29T14:06:28.640,4051,618
39563,1,2020-04-04T14:11:36.500,4053,3989
39575,1,2020-04-07T15:20:28.230,4053,3988
39588,1,2020-04-08T10:15:44.063,4053,4055
39589,1,2020-04-08T10:19:44.783,3988,4053
39590,1,2020-04-08T10:19:44.783,3988,4055
39663,1,2020-04-30T10:16:16.603,4062,3619
39744,1,2020-05-06T10:15:40.670,4075,4062
39833,1,2020-05-11T18:22:35.597,4082,4068
39834,1,2020-05-11T18:39:06.063,4082,4075
39872,1,2020-05-13T21:42:35.703,4093,739
39982,1,2020-05-18T17:45:23.227,4097,618
39983,1,2020-05-18T17:45:23.227,4097,3717
40027,1,2020-05-23T11:02:10.753,4101,4
40304,1,2020-05-28T06:15:59.450,4107,4069
40310,1,2020-05-28T07:20:08.030,4107,4068
40353,1,2020-06-01T15:04:37.280,4075,4082
40354,1,2020-06-01T15:23:49.160,4116,4069
40355,1,2020-06-01T15:23:49.160,4116,4107
40361,1,2020-06-02T05:17:27.103,4119,4068
40362,1,2020-06-02T05:17:27.103,4119,4075
40372,1,2020-06-02T14:52:11.040,4119,3908
40421,1,2020-06-05T08:26:34.220,3866,2236
40430,1,2020-06-06T09:07:54.100,4075,4068
40465,1,2020-06-08T18:11:39.770,4132,3866
40466,1,2020-06-08T18:11:39.770,4132,2236
40467,1,2020-06-08T18:11:39.770,4132,3826
40468,1,2020-06-08T18:11:39.770,4132,3650
40469,1,2020-06-08T18:11:39.770,4132,1993
40470,1,2020-06-08T18:11:39.770,4132,3445
40471,1,2020-06-08T18:11:39.770,4132,3336
40472,1,2020-06-08T18:11:39.770,4132,3342
40473,1,2020-06-08T18:11:39.770,4132,2099
40474,1,2020-06-08T18:11:39.770,4132,896
40475,1,2020-06-08T18:11:39.770,4132,2234
40476,1,2020-06-08T18:11:39.770,4132,2078
40486,1,2020-06-09T08:46:34.490,2234,896
40489,1,2020-06-09T17:13:37.810,3965,4018
40614,3,2020-06-27T14:37:12.903,2234,896
40660,1,2020-07-02T04:58:40.007,4139,173
40694,1,2020-07-07T11:11:52.170,3980,494
40750,1,2020-07-07T15:08:08.677,3980,4018
40890,1,2020-07-17T00:09:44.360,4146,3867
40893,1,2020-07-17T12:40:24.007,4146,3683
40896,1,2020-07-17T21:06:28.390,3988,3472
40897,1,2020-07-17T21:06:28.390,3988,3867
40898,1,2020-07-17T21:06:28.390,3988,4139
40899,1,2020-07-17T21:06:28.390,3988,3561
40900,1,2020-07-17T21:06:28.390,3988,3947
40901,1,2020-07-17T21:06:28.390,3988,601
40902,1,2020-07-17T21:06:28.390,3988,4119
40926,1,2020-07-22T00:34:43.200,3988,3828
41183,1,2020-07-30T09:08:31.863,4151,4146
41244,1,2020-08-10T00:41:00.690,4152,4151
41245,1,2020-08-13T10:26:50.173,4146,3841
41246,1,2020-08-29T14:31:20.677,4155,494
41247,1,2020-08-29T16:52:56.653,4155,3598
41248,1,2020-08-29T18:03:12.573,4155,3700
41249,1,2020-08-29T19:57:25.860,4159,3989
41537,3,2020-09-12T22:20:23.403,4167,3942
41772,1,2020-10-01T16:05:04.300,4168,3763
41838,1,2020-10-13T20:12:04.447,4178,4173
41877,1,2020-10-19T20:15:59.637,4185,4175
41878,1,2020-10-19T20:17:20.627,4175,4185
41900,1,2020-10-21T00:56:51.107,4185,3627
41901,1,2020-10-21T00:56:51.107,4185,3405
41911,1,2020-10-23T21:52:32.663,4192,4003
41912,1,2020-10-25T03:57:23.510,4194,4155
41923,1,2020-10-25T04:40:34.610,4194,4164
41932,1,2020-10-25T19:53:17.743,4196,487
42076,1,2020-11-02T22:34:45.430,4192,3528
42079,1,2020-11-03T00:32:52.917,4192,3627
42185,1,2020-11-14T09:48:18.277,4211,4200
42351,1,2020-12-28T11:35:24.537,3841,4053
42352,1,2021-01-19T18:03:14.940,4247,4005
44621,1,2021-03-05T13:23:04.817,4258,618
45370,1,2021-04-08T18:50:41.320,618,667
45394,1,2021-04-25T22:36:27.053,4277,3504
45825,1,2021-06-09T15:49:52.610,4287,3683
45844,1,2021-06-18T12:57:58.167,4291,3627
45885,1,2021-07-15T07:18:58.367,3841,3683
45886,1,2021-07-15T07:18:58.367,3841,618
45887,1,2021-07-15T07:18:58.367,3841,3988
45888,1,2021-07-15T07:27:50.813,3988,4132
46240,1,2021-08-07T13:06:05.680,4303,3988
46338,1,2021-09-27T13:29:21.240,618,896
46551,1,2021-10-07T01:45:17.970,4311,3681
48016,1,2022-01-12T15:39:52.633,4324,4247
48332,1,2022-02-24T22:27:37.977,4333,42
48333,1,2022-02-24T22:27:37.977,4333,406
48334,1,2022-02-24T22:27:37.977,4333,3496
48335,1,2022-02-25T00:08:53.377,4333,540
48336,1,2022-02-25T00:08:53.377,4333,3748
48345,1,2022-02-27T13:57:03.820,3988,42
48346,1,2022-02-27T13:57:03.820,3988,406
48347,1,2022-02-27T13:57:03.820,3988,540
48348,1,2022-02-27T13:57:03.820,3988,3496
48349,1,2022-02-27T13:57:03.820,3988,3748
48350,1,2022-02-27T13:57:03.820,3988,4333
48364,1,2022-03-21T08:53:26.630,3988,3319
49223,1,2022-05-17T13:02:34.563,4343,3681
49583,1,2022-06-27T01:55:52.210,4360,3683
49613,1,2022-07-15T09:41:57.693,4367,3683
49772,1,2022-09-13T07:33:51.393,4378,4328
49796,1,2022-09-21T10:57:51.883,4382,601
49797,1,2022-09-21T10:57:51.883,4382,4152
49798,1,2022-09-21T10:57:51.883,4382,3947
49808,1,2022-09-21T13:36:49.590,4382,3627
50146,1,2022-09-29T10:42:56.293,4384,4382
50147,1,2022-09-29T15:45:24.140,4384,156
50148,1,2022-09-29T15:46:00.633,4384,567
50149,1,2022-09-29T15:47:51.827,4384,4053
51268,1,2022-12-02T16:13:42.370,4397,3683
51269,3,2022-12-03T17:11:39.753,4397,3683
51575,1,2023-01-26T15:50:03.103,4422,4324
53313,1,2023-06-07T18:57:45.413,4449,334
53351,1,2023-06-20T19:29:33.793,4453,4450
53649,1,2023-08-22T20:55:19.247,4457,4132
53994,1,2023-10-03T00:53:28.450,4467,4164
54057,1,2023-10-30T19:13:01.443,4476,3803
